Index,DEPTH(ft),WOB(klbf),TORQUE(kft.lbf),SPP(psi),RPM(1/min),ROP(ft/h),"Fow Rate, gpm ","UCS, psi"
1,4507,19.803,8.481,2385.043,107.269,35.003,796.643,11397.938
2,4507.5,19.823,8.472,2393.532,108.038,35.188,797.978,11393.243
3,4509,19.883,8.437,2416.488,110.125,35.611,801.62,11372.686
4,4509.5,19.902,8.423,2423.391,110.758,35.712,802.726,11369.645
5,4510,19.921,8.408,2429.969,111.366,35.792,803.784,11367.988
6,4510.5,19.939,8.391,2436.245,111.948,35.85,804.797,11369.127
7,4512.5,20.013,8.317,2458.736,114.102,35.899,808.456,11367.352
8,4513.5,20.045,8.274,2468.611,115.127,35.834,810.078,11368.065
9,4514.5,20.064,8.228,2477.69,116.13,35.727,811.582,11368.051
10,4516.5,20.116,8.148,2493.773,118.077,35.409,814.281,11360.327
11,4518,20.197,8.107,2504.302,119.504,35.276,816.082,11365.594
12,4518.5,20.229,8.097,2507.566,119.949,35.257,816.644,11365.807
13,4519,20.256,8.085,2510.724,120.37,35.253,817.189,11364.042
14,4519.5,20.284,8.075,2513.785,120.765,35.258,817.709,11360.989
15,4521,20.389,8.061,2522.215,121.801,35.263,819.102,11357.901
16,4522.5,20.54,8.076,2529.04,122.623,35.488,820.27,11345.026
17,4523.5,20.658,8.095,2532.753,123.874,35.778,820.957,11341.123
18,4524,20.716,8.104,2534.455,124.466,35.948,821.278,11339.36
19,4525.5,20.88,8.132,2538.997,126.215,36.711,822.154,11346.901
20,4526,20.932,8.141,2545.63,126.782,37.014,822.418,11348.324
21,4529,21.231,8.181,2583.327,130.469,38.876,827.506,11362.003
22,4530,21.337,8.192,2594.585,131.774,39.482,829.785,11370.542
23,4530.5,21.388,8.197,2600.152,132.414,39.796,830.925,11378.988
24,4531,21.438,8.202,2605.72,133.031,40.109,832.064,11385.967
25,4532.5,21.585,8.213,2622.381,134.418,41.089,835.476,11397.018
26,4534,21.729,8.224,2636.557,135.347,41.931,838.915,11414.926
27,4535.5,21.873,8.232,2646.357,135.948,42.623,842.017,11429.493
28,4540.5,22.3,8.255,2650.756,135.449,43.394,847.58,11396.912
29,4542,22.387,8.255,2645.92,134.99,43.411,847.689,11377.131
30,4543,22.447,8.261,2643.418,134.625,43.518,847.631,11356.233
31,4543.5,22.477,8.266,2642.425,134.421,43.622,847.609,11342.564
32,4544,22.507,8.27,2641.603,134.202,43.757,847.592,11331.379
33,4545.5,22.595,8.284,2639.369,133.511,44.189,847.581,11317.532
34,4547.5,22.704,8.31,2637.415,132.748,44.865,847.661,11325.825
35,4548.5,22.756,8.326,2636.732,132.381,45.268,847.716,11328.993
36,4549,22.782,8.335,2636.396,132.195,45.486,847.745,11327.047
37,4551,22.885,8.379,2635.03,131.619,46.445,847.859,11294.693
38,4553,22.983,8.435,2633.738,131.418,47.536,847.971,11269.66
39,4556,23.154,8.537,2631.988,131.959,48.951,848.142,11204.322
40,4556.5,23.178,8.552,2631.71,132.137,49.157,848.171,11188.095
41,4557,23.199,8.566,2631.428,132.332,49.353,848.199,11170.257
42,4558.5,23.24,8.605,2630.747,132.976,49.801,848.279,11116.778
43,4561,23.286,8.653,2631.389,133.859,50.081,848.504,11052.592
44,4562,23.271,8.653,2632.107,134.14,50.153,848.668,11028.846
45,4563,23.234,8.648,2633.01,134.43,50.219,848.864,11016.787
46,4563.5,23.21,8.646,2633.543,134.633,50.245,848.971,11015.274
